Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,143.70999999999998,1724.52,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t2.medium)"
My Estimate,US East (N. Virginia),Master DB,Amazon RDS for MySQL,0,109.03,1308.36,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.t2.medium), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (30 GB)"
My Estimate,US East (N. Virginia),DB Replica,Amazon RDS for MySQL,0,109.03,1308.36,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.t2.medium), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (30 GB)"
My Estimate,US East (N. Virginia),Two Load Balancers For Web/App servers,Application Load Balancer,0,266.45,3197.40,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,0.69,8.28,USD,S3 Standard storage (30 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,67.5,810.00,USD,Number of NAT Gateways (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
